Name,SpaceFlights,FlightHours,Spacewalks,SpacewalkHours,SpaceFlights_Score,FlightHours_Score,Spacewalks_Score,SpacewalkHours_Score,OverallScore
Joseph M. Acaba,3307,2,13.0,0.0,63,60,60,100,64.0
Loren W. Acton,190,0,0.0,0.0,51,50,50,100,50.0
James C. Adamson,334,0,0.0,0.0,51,50,50,100,50.0
Thomas D. Akers,814,4,29.0,0.0,53,70,72,100,68.0
Buzz Aldrin,289,2,8.0,0.0,51,60,56,100,57.0
Andrew M. Allen,906,0,0.0,0.0,54,50,50,100,52.0
Joseph P. Allen,313,2,12.0,0.0,51,60,59,100,58.0
Scott D. Altman,1236,0,0.0,0.0,55,50,50,100,52.0
William A. Anders,147,0,0.0,0.0,51,50,50,100,50.0
Clayton C. Anderson,4005,6,38.0,0.0,66,80,78,100,80.0
Michael P. Anderson,594,0,0.0,0.0,52,50,50,100,51.0
Dominic A. Antonelli,579,0,0.0,0.0,52,50,50,100,51.0
Jerome Apt III ,847,2,11.0,0.0,53,60,58,100,59.0
Lee J. Archambault,639,0,0.0,0.0,52,50,50,100,51.0
Neil A. Armstrong,205,1,2.0,0.0,51,55,51,100,53.0
Richard R. Arnold II ,307,2,12.0,0.0,51,60,59,100,58.0
Jeffrey S. Ashby,655,0,0.0,0.0,53,50,50,100,51.0
Serena M. Aunon,0,0,0.0,0.0,50,50,50,100,50.0
James P. Bagian,337,0,0.0,0.0,51,50,50,100,50.0
Ellen S. Baker,686,0,0.0,0.0,53,50,50,100,51.0
Michael A. Baker,965,0,0.0,0.0,54,50,50,100,52.0
Michael R. Barratt,5075,1,5.0,0.0,70,55,54,100,63.0
Daniel T. Barry,733,4,26.0,0.0,53,70,69,100,67.0
John-David F. Bartoe,190,0,0.0,0.0,51,50,50,100,50.0
Charles A. Bassett II ,0,0,0.0,0.0,50,50,50,100,50.0
Alan L. Bean,1671,3,10.0,0.0,57,65,57,100,62.0
