Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
Alan B Shepard,Alan,Shepard,Man,2,216,2,9,US Naval Academy,Naval Sciences,0,3
Alan G Poindexter,Alan,Poindexter,Man,2,669,0,0,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,2
Alan L Bean,Alan,Bean,Man,2,1671,3,10,University of Texas,Aeronautical Engineering,0,2
Albert Sacco,Albert,Sacco,Man,1,381,0,0,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,1
Alfred M Worden,Alfred,Worden,Man,1,295,1,0.5,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,1
Alvin B Drew,Alvin,Drew,Man,2,613,2,13,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,1
Andrew J Feustel,Andrew,Feustel,Man,3,687,6,42,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,1
Andrew M Allen,Andrew,Allen,Man,3,906,0,0,Villanova University; University of Florida,Mechanical Engineering,Business Administration,1
Andrew S W Thomas,Andrew,Thomas,Man,4,4257,1,6,University of Adelaide,Mechanical Engineering,Mechanical Engineering,1
Anna L Fisher,Anna,Fisher,Woman,1,191,0,0,University of California-Los Angeles,Chemistry,Chemistry; Medicine,3
Anthony W England,Anthony,England,Man,1,190,0,0,MIT,Geology,Geology; Geophysics,1
Barbara R Morgan,Barbara,Morgan,Woman,1,305,0,0,Stanford University,Human Biology,0,2
Barry E Wilmore,Barry,Wilmore,Man,2,4272,4,25,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,1
Bernard A Harris,Bernard,Harris,Man,2,438,1,5,University of Houston; Texas Tech University,Biology,Medicine,3
Bill Nelson,Bill,Nelson,Not Found,1,146,0,0,Yale University; University of Virginia,0,Law,1
Bonnie J Dunbar,Bonnie,Dunbar,Woman,5,1207,0,0,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,1
Brent W Jett,Brent,Jett,Man,4,1002,0,0,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,1
Brewster H Shaw,Brewster,Shaw,Man,3,533,0,0,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,1
Brian Duffy,Brian,Duffy,Man,4,977,0,0,US Air Force Academy; University of Southern California,Mathematics,Systems Management,2
Brian T O'Leary,Brian,O'Leary,Not Found,0,0,0,0,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,2
Bruce E Melnick,Bruce,Melnick,Man,2,311,0,0,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,2
Bruce McCandless,Bruce,McCandless,Man,2,312,2,12,US Naval Academy; Stanford University; University of Houston-Clear Lake,0,Electrical Engineering; Business Administration,1
Bryan D O'Connor,Bryan,O'Connor,Man,2,383,0,0,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,1
Buzz Aldrin,Buzz,Aldrin,Man,2,289,2,8,US Military Academy; MIT,Mechanical Engineering,Astronautics,1
Byron K Lichtenberg,Byron,Lichtenberg,Man,2,461,0,0,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,2
C Gordon Fullerton,Gordon,Fullerton,Not Found,2,382,0,0,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,1
C Michael Foale,Michael,Foale,Man,6,8970,4,22,Cambridge University,Physics,Laboratory Astrophysics,2
Carl E Walz,Carl,Walz,Man,4,5533,3,19,Kent State University; John Carroll University,Physics,Solid State Physics,1
Carl J Meade,Carl,Meade,Man,3,712,1,6,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,1
Carlos I Noriega,Carlos,Noriega,Man,2,481,3,19,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,1
