Mission Name & Program,Success T/F,Duration (days),Scientific Yield,Members,Source,,,,,,,,,,,,,,,,,,,,
Apollo 1,F,0,0,"Edward White, Roger Chaffee, Virgil Grissom",,,,,,,, ,,,,,,,,,,,,,
Apollo 10,T,8,High,"Eugene Cernan, John Young, Thomas Stafford",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 11,T,9,High,"Buzz Aldrin, Michael Collins, Neil Armstrong",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 12,T,11,High,"Alan Bean, Charles Conrad, Richard Gordon",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 13,F,6,Moderate,"Fred Haise, James Lovell, John Swigert",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 14,T,9,High,"Alan Shepard, Edgar Mitchell, Stuart Roosa",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 15,T,13,High,"Alfred Worden, David Scott, James Irwin",https://en.wikipedia.org/wiki/Apollo_program,.,,,,,, ,,,,,,,,,,,,,
Apollo 16,T,12,High,"Charles Duke, John Young, Thomas Mattingly",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 17,T,13,High,"Eugene Cernan, Harrison Schmitt, Ronald Evans",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 7,T,11,Moderate,"Donn Eisele, Walter Cunningham, Walter Schirra",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 8,T,7,High,"Frank Borman, James Lovell, William Anders",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,,,,,,,,
Apollo 9,T,11,High,"David Scott, James McDivitt, Russell Schweickart",https://en.wikipedia.org/wiki/Apollo_program,,,,,,, ,,,,,,Mercury-Atlas 6 (1962),T,1,1,Moderate,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Apollo-Soyuz Test Project,T,2,Moderate,"Donald Slayton, Thomas Stafford, Vance Brand",https://en.wikipedia.org/wiki/Apollo%E2%80%93Soyuz,,,,,,, ,,,,,,Mercury-Atlas 7 (1962),T,1,3,Moderate,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Gemini 10,T,3,Moderate,"John Young, Michael Collins",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,, ,,,,,,Mercury-Atlas 8 (1962),T,1,0,Moderate,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Gemini 11,T,3,High,"Charles Conrad, Richard Gordon",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,, ,,,,,,Mercury-Atlas 9 (1963),T,2,3,High,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Gemini 12,T,4,High ,"Buzz Aldrin, James Lovell",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,, ,,,,,,Mercury-Redstone 3 (1961),T,1,1,Low,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Gemini 3,T,1,Low,"John Young, Virgil Grissom",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,Mercury-Redstone 4 (1961),T,1,1,Low,#VALUE!,,https://en.wikipedia.org/wiki/Project_Mercury
Gemini 4,T,5,High,"Edward White, James McDivitt",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,Skylab 2 (1973),T,28,3,High ,#VALUE!,,https://en.wikipedia.org/wiki/Skylab
Gemini 5,T,8,Moderate,"Charles Conrad, Gordon Cooper",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,Skylab 3 (1973),T,60,3,High ,#VALUE!,,https://en.wikipedia.org/wiki/Skylab
Gemini 6,T,1,Low,"Thomas Stafford, Walter Schirra",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,Skylab 4 (1973),T,84,3,High ,#VALUE!,,https://en.wikipedia.org/wiki/Skylab
Gemini 7,T,14,High,"Frank Borman, James Lovell",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,SpaceX Crew-2 (2021),T,199,2,High ,#VALUE!,,https://en.wikipedia.org/wiki/SpaceX_Crew-2
Gemini 8,T,1,Moderate,"David Scott, Neil Armstrong",https://en.wikipedia.org/wiki/Project_Gemini,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,STS-102 (2001),T,13,2,High ,#VALUE!,,https://spider.seds.org/shuttle/past.html
Gemini 9,T,3,Moderate,"Eugene Cernan, Thomas Stafford",https://en.wikipedia.org/wiki/List_of_International_Space_Station_expeditions,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,STS-110 (2002),T,11,2,High ,#VALUE!,,https://spider.seds.org/shuttle/past.html
ISS-01,T,141,High ,William Shepherd,https://en.wikipedia.org/wiki/List_of_International_Space_Station_expeditions,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,STS-122 (2008),T,13,2,High ,#VALUE!,,https://spider.seds.org/shuttle/past.html
ISS-07,T,185,Low,Edward Lu,https://en.wikipedia.org/wiki/List_of_International_Space_Station_expeditions,,,,,,https://en.wikipedia.org/wiki/Apollo_program,https://en.wikipedia.org/wiki/Apollo_program,,,,,,STS-131 (2010),T,15,2,High ,#VALUE!,,https://spider.seds.org/shuttle/past.html
